fiber_length;fiber_type;connector_type;olt_txpower;olt_rxpower;olt_temperature;olt_splitter;odc_splitter;odp_splitter;ont_txpower;ont_rxpower;ont_temperature;onu_link_status;wavelength;spec_status;
3536;SM;SC;3,32;-20,92;31;1:2;1:2;1:16;2,21;-19,35;44;ONLINE;1490;SPEC;
3405;SM;SC;3,57;-24,56;28;1:2;1:2;1:16;2,38;-22,52;44;ONLINE;1490;UNSPEC;
3524;SM;SC;3,47;-22,22;32;1:2;1:2;1:16;2,31;-20,26;44;ONLINE;1490;SPEC;
3514;SM;SC;3,26;-21,14;37;1:2;1:2;1:16;2,17;-19,91;43;ONLINE;1490;SPEC;
3590;SM;SC;3,35;-20,76;34;1:2;1:2;1:16;2,23;-19,2;45;ONLINE;1490;SPEC;
3429;SM;SC;3,33;-21,62;29;1:2;1:2;1:16;2,22;-19,58;49;ONLINE;1490;SPEC;
3422;SM;SC;3,33;-24,69;31;1:2;1:2;1:16;2,22;-21,27;44;ONLINE;1490;UNSPEC;
2589;SM;SC;3,18;-30,96;40;1:2;1:4;1:8;2,12;-29,21;39;ONLINE;1490;UNSPEC;
2589;SM;SC;3,53;-30,59;28;1:2;1:4;1:8;2,35;-28,86;51;ONLINE;1490;UNSPEC;
2154;SM;SC;3,48;-22,97;32;1:2;1:4;1:8;2,32;-21,67;48;ONLINE;1490;SPEC;
2739;SM;SC;3,63;-31,35;35;1:2;1:4;1:8;2,42;-29,58;49;ONLINE;1490;UNSPEC;
2739;SM;SC;3,66;-31,35;38;1:2;1:4;1:8;2,44;-29,58;53;ONLINE;1490;UNSPEC;
2293;SM;SC;3,17;-19,58;40;1:2;1:4;1:8;2,11;-18,47;44;ONLINE;1490;SPEC;
2471;SM;SC;3,5;-18,07;26;1:2;1:4;1:8;2,33;-17,05;41;ONLINE;1490;SPEC;
2327;SM;SC;3,29;-18,75;38;1:2;1:4;1:8;2,19;-17,69;54;ONLINE;1490;SPEC;
2071;SM;SC;3,11;-20,17;30;1:2;1:4;1:8;2,07;-19,03;45;ONLINE;1490;SPEC;
2070;SM;SC;3,08;-20,13;32;1:2;1:4;1:8;2,05;-18,99;51;ONLINE;1490;SPEC;
2071;SM;SC;3,17;-20,92;28;1:2;1:4;1:8;2,11;-19,74;51;ONLINE;1490;SPEC;
2312;SM;SC;3,29;-17,48;26;1:2;1:4;1:8;2,19;-16,49;52;ONLINE;1490;SPEC;
2588;SM;SC;3,39;-28,84;36;1:2;1:4;1:8;2,26;-27,21;48;ONLINE;1490;UNSPEC;
2640;SM;SC;3,17;-24,3;29;1:2;1:4;1:8;2,11;-22,92;53;ONLINE;1490;UNSPEC;
2588;SM;SC;3,17;-27,76;34;1:2;1:4;1:8;2,11;-26,19;53;ONLINE;1490;UNSPEC;
2574;SM;SC;3,17;-26,74;29;1:2;1:4;1:8;2,11;-25,23;48;ONLINE;1490;UNSPEC;
2163;SM;SC;3,06;-19,58;30;1:2;1:4;1:8;2,04;-18,47;52;ONLINE;1490;SPEC;
2119;SM;SC;3,59;-19,78;39;1:2;1:4;1:8;2,39;-18,66;39;ONLINE;1490;SPEC;
2208;SM;SC;3,29;-21,43;28;1:2;1:4;1:8;2,19;-20,22;35;ONLINE;1490;SPEC;
2535;SM;SC;3,29;-18,44;39;1:2;1:4;1:8;2,19;-17,4;38;ONLINE;1490;SPEC;
2664;SM;SC;3,26;-23,11;38;1:2;1:4;1:8;2,17;-21,8;51;ONLINE;1490;SPEC;
2293;SM;SC;3,09;-17,28;39;1:2;1:4;1:8;2,06;-16,3;53;ONLINE;1490;SPEC;
6606;SM;SC;3,57;-17,25;39;1:2;1:4;1:8;2,38;-16,27;52;ONLINE;1490;SPEC;
6423;SM;SC;3,45;-17,47;25;1:2;1:4;1:8;2,3;-16,48;48;ONLINE;1490;SPEC;
6550;SM;SC;3,59;-17,3;34;1:2;1:4;1:8;2,39;-16,32;42;ONLINE;1490;SPEC;
6582;SM;SC;3,66;-18,5;37;1:2;1:4;1:8;2,44;-17,45;41;ONLINE;1490;SPEC;
6570;SM;SC;3,08;-18,82;34;1:2;1:4;1:8;2,05;-17,75;36;ONLINE;1490;SPEC;
6622;SM;SC;3,32;-17,64;29;1:2;1:4;1:8;2,21;-16,64;38;ONLINE;1490;SPEC;
6411;SM;SC;3,24;-17,61;25;1:2;1:4;1:8;2,16;-16,61;47;ONLINE;1490;SPEC;
4117;SM;SC;3,39;-22,11;40;1:2;1:4;1:8;2,26;-20,86;40;ONLINE;1490;SPEC;
4122;SM;SC;2,87;-21,34;35;1:2;1:4;1:8;1,91;-20,13;49;ONLINE;1490;SPEC;
4283;SM;SC;3,41;-22,71;27;1:2;1:4;1:8;2,27;-21,42;47;ONLINE;1490;SPEC;
2422;SM;SC;3,48;-20,44;34;1:2;1:4;1:8;2,32;-19,28;45;ONLINE;1490;SPEC;
2338;SM;SC;3,2;-26,16;31;1:2;1:4;1:8;2,13;-24,68;37;ONLINE;1490;UNSPEC;
2317;SM;SC;3,62;-23,55;33;1:2;1:4;1:8;2,41;-22,22;42;ONLINE;1490;SPEC;
2338;SM;SC;3,08;-22,28;36;1:2;1:4;1:8;2,05;-21,02;49;ONLINE;1490;SPEC;
2167;SM;SC;3,53;-30,59;26;1:2;1:4;1:8;2,35;-28,86;36;ONLINE;1490;UNSPEC;
2399;SM;SC;3,83;-22,84;28;1:2;1:4;1:8;2,55;-21,55;49;ONLINE;1490;SPEC;
2195;SM;SC;3,15;-23,95;34;1:2;1:4;1:8;2,1;-22,59;49;ONLINE;1490;SPEC;
2246;SM;SC;2,97;-27,22;27;1:2;1:4;1:8;1,98;-25,68;42;ONLINE;1490;UNSPEC;
2210;SM;SC;3,53;-20,51;35;1:2;1:4;1:8;2,35;-19,35;49;ONLINE;1490;SPEC;
2112;SM;SC;3,36;-24,87;32;1:2;1:4;1:8;2,24;-23,46;35;ONLINE;1490;UNSPEC;
2247;SM;SC;2,87;-32,84;33;1:2;1:4;1:8;1,91;-30,98;47;ONLINE;1490;UNSPEC;
2244;SM;SC;3,27;-21,49;34;1:2;1:4;1:8;2,18;-20,27;35;ONLINE;1490;SPEC;
7974;SM;SC;3,06;-21,53;29;1:2;1:4;1:8;2,04;-20,31;51;ONLINE;1490;SPEC;
7849;SM;SC;3,6;-19,33;35;1:2;1:4;1:8;2,4;-18,24;35;ONLINE;1490;SPEC;
7844;SM;SC;2,99;-21,53;39;1:2;1:4;1:8;1,99;-20,31;35;ONLINE;1490;SPEC;
7845;SM;SC;3,3;-26,58;27;1:2;1:4;1:8;2,2;-25,08;41;ONLINE;1490;UNSPEC;
7665;SM;SC;3,33;-26,74;26;1:2;1:4;1:8;2,22;-25,23;39;ONLINE;1490;UNSPEC;
7857;SM;SC;3,03;-23,55;30;1:2;1:4;1:8;2,02;-22,22;52;ONLINE;1490;SPEC;
7738;SM;SC;2,94;-29,35;28;1:2;1:4;1:8;1,96;-27,69;55;ONLINE;1490;UNSPEC;
7870;SM;SC;3,06;-22,92;40;1:2;1:4;1:8;2,04;-21,62;40;ONLINE;1490;SPEC;
8118;SM;SC;3,68;-21,28;35;1:2;1:4;1:8;2,45;-20,08;41;ONLINE;1490;SPEC;
7730;SM;SC;2,82;-20,44;36;1:2;1:4;1:8;1,88;-19,28;54;ONLINE;1490;SPEC;
7725;SM;SC;3,45;-20,13;32;1:2;1:4;1:8;2,3;-18,99;53;ONLINE;1490;SPEC;
7583;SM;SC;3;-20,1;25;1:2;1:4;1:8;2;-18,96;50;ONLINE;1490;SPEC;
7960;SM;SC;3,08;-25,77;31;1:2;1:4;1:8;2,05;-24,31;35;ONLINE;1490;UNSPEC;
7850;SM;SC;2,93;-19,12;31;1:2;1:4;1:8;1,95;-18,04;39;ONLINE;1490;SPEC;
7744;SM;SC;3,66;-20,44;31;1:2;1:4;1:8;2,44;-19,28;49;ONLINE;1490;SPEC;
4795;SM;SC;3,23;-19,61;28;1:2;1:4;1:8;2,15;-18,5;53;ONLINE;1490;SPEC;
4889;SM;SC;3,65;-19,81;29;1:2;1:4;1:8;2,43;-18,69;36;ONLINE;1490;SPEC;
4798;SM;SC;3,27;-23,95;25;1:2;1:4;1:8;2,18;-22,59;51;ONLINE;1490;SPEC;
4848;SM;SC;3,59;-25,77;25;1:2;1:4;1:8;2,39;-24,31;38;ONLINE;1490;UNSPEC;
4825;SM;SC;3,24;-19,37;38;1:2;1:4;1:8;2,16;-18,27;37;ONLINE;1490;SPEC;
4674;SM;SC;3,93;-22,58;40;1:2;1:4;1:8;2,62;-21,3;44;ONLINE;1490;SPEC;
4823;SM;SC;3,32;-19,78;28;1:2;1:4;1:8;2,21;-18,66;43;ONLINE;1490;SPEC;
4766;SM;SC;3,29;-20,28;31;1:2;1:4;1:8;2,19;-19,13;42;ONLINE;1490;SPEC;
3638;SM;SC;3,73;-25,98;42;1:2;1:4;1:8;2,65;-23,98;46;ONLINE;1490;UNSPEC;
6318;SM;SC;3,84;-20,66;30;1:2;1:4;1:8;2,23;-17,82;41;ONLINE;1490;SPEC;
2596;SM;SC;3,93;-22,52;40;1:2;1:4;1:8;2,33;-20,75;46;ONLINE;1490;SPEC;
1300;SM;SC;3,73;-23,88;31;1:2;1:4;1:16;1,82;-20,6;49;ONLINE;1490;SPEC;
744;SM;SC;3,36;-22,93;31;1:2;1:4;1:16;2,24;-22,75;50;ONLINE;1490;SPEC;
1249;SM;SC;2,79;-21,68;32;1:2;1:4;1:16;1,86;-19,13;50;ONLINE;1490;SPEC;
1304;SM;SC;3,32;-27,7;34;1:2;1:4;1:16;2,21;-24,2;48;ONLINE;1490;UNSPEC;
1512;SM;SC;3,63;-23,19;27;1:2;1:4;1:16;2,42;-21,13;45;ONLINE;1490;SPEC;
864;SM;SC;3,87;-18,87;39;1:2;1:4;1:16;2,58;-18,15;43;ONLINE;1490;SPEC;
1305;SM;SC;3,23;-27,22;35;1:2;1:4;1:16;2,15;-24,43;47;ONLINE;1490;UNSPEC;
903;SM;SC;3,74;-19,83;29;1:2;1:4;1:16;2,49;-17,98;39;ONLINE;1490;SPEC;
768;SM;SC;3,27;-18,03;30;1:2;1:4;1:16;2,18;-17,28;60;ONLINE;1490;SPEC;
1079;SM;SC;3,48;-21,31;28;1:2;1:4;1:16;2,32;-19,62;51;ONLINE;1490;SPEC;
1099;SM;SC;3,36;-21,25;28;1:2;1:4;1:16;2,24;-19,43;57;ONLINE;1490;SPEC;
874;SM;SC;3,66;-21,68;25;1:2;1:4;1:16;2,44;-19,5;41;ONLINE;1490;SPEC;
742;SM;SC;2,88;-22,52;32;1:2;1:4;1:16;1,92;-20,65;40;ONLINE;1490;SPEC;
778;SM;SC;2,73;-23,28;31;1:2;1:4;1:16;1,82;-21,42;45;ONLINE;1490;SPEC;
1391;SM;SC;3,35;-24,82;29;1:2;1:4;1:16;2,23;-22,36;53;ONLINE;1490;UNSPEC;
1069;SM;SC;3,3;-20,87;39;1:2;1:4;1:16;2,2;-19,7;52;ONLINE;1490;SPEC;
1190;SM;SC;3,74;-21,81;30;1:2;1:4;1:16;2,49;-20,13;38;ONLINE;1490;SPEC;
904;SM;SC;3,98;-19,32;37;1:2;1:4;1:16;2,65;-18,15;40;ONLINE;1490;SPEC;
759;SM;SC;3,27;-26,39;28;1:2;1:4;1:16;2,18;-25,08;43;ONLINE;1490;UNSPEC;
749;SM;SC;3,02;-18,61;36;1:2;1:4;1:16;2,01;-19,1;48;ONLINE;1490;SPEC;
760;SM;SC;2,84;-25,69;35;1:2;1:4;1:16;1,89;-24,31;40;ONLINE;1490;UNSPEC;
760;SM;SC;3,59;-25,53;34;1:2;1:4;1:16;2,39;-24,43;42;ONLINE;1490;UNSPEC;
759;SM;SC;3,45;-25,38;25;1:2;1:4;1:16;2,3;-24,81;45;ONLINE;1490;UNSPEC;
745;SM;SC;3,44;-19,44;30;1:2;1:4;1:16;2,29;-17,42;46;ONLINE;1490;SPEC;
781;SM;SC;2,99;-19,71;34;1:2;1:4;1:16;1,99;-18,32;40;ONLINE;1490;SPEC;
1263;SM;SC;2,79;-22,84;33;1:2;1:4;1:16;1,86;-20,97;49;ONLINE;1490;SPEC;
1089;SM;SC;2,79;-23,57;37;1:2;1:4;1:16;1,86;-22,44;54;ONLINE;1490;SPEC;
788;SM;SC;3,21;-20,18;33;1:2;1:4;1:16;2,14;-18,5;47;ONLINE;1490;SPEC;
760;SM;SC;3,3;-18,33;34;1:2;1:4;1:16;2,2;-17,12;51;ONLINE;1490;SPEC;
1343;SM;SC;3,53;-20,23;39;1:2;1:4;1:16;2,35;-18,28;55;ONLINE;1490;SPEC;
1371;SM;SC;3,44;-23,28;35;1:2;1:4;1:16;2,29;-22,84;49;ONLINE;1490;SPEC;
1110;SM;SC;3,38;-23,67;35;1:2;1:4;1:16;2,25;-21,94;48;ONLINE;1490;SPEC;
1064;SM;SC;3,45;-20,71;27;1:2;1:4;1:16;2,3;-18,32;49;ONLINE;1490;SPEC;
1104;SM;SC;3,09;-20,97;38;1:2;1:4;1:16;2,06;-18,44;50;ONLINE;1490;SPEC;
1106;SM;SC;3,24;-20,37;34;1:2;1:4;1:16;2,16;-17,54;49;ONLINE;1490;SPEC;
1376;SM;SC;3,5;-18,1;36;1:2;1:4;1:16;2,33;-16,07;44;ONLINE;1490;SPEC;
1372;SM;SC;3,45;-21,68;39;1:2;1:4;1:16;2,3;-21,74;45;ONLINE;1490;SPEC;
1509;SM;SC;3,68;-20,61;29;1:2;1:4;1:16;2,45;-19,87;48;ONLINE;1490;SPEC;
1070;SM;SC;3,18;-21,03;32;1:2;1:4;1:16;2,12;-18,09;57;ONLINE;1490;SPEC;
1233;SM;SC;3,18;-20,87;39;1:2;1:4;1:16;2,12;-18,18;50;ONLINE;1490;SPEC;
1234;SM;SC;3,02;-17,13;35;1:2;1:4;1:16;2,01;16,4;39;ONLINE;1490;SPEC;
1245;SM;SC;3,77;-20,92;37;1:2;1:4;1:16;2,51;-18,18;48;ONLINE;1490;SPEC;
1370;SM;SC;3,81;-17,75;25;1:2;1:4;1:16;2,54;-17,7;49;ONLINE;1490;SPEC;
1184;SM;SC;3,5;-20,18;36;1:2;1:4;1:16;2,33;-18,44;49;ONLINE;1490;SPEC;
1345;SM;SC;3,62;-21,08;26;1:2;1:4;1:16;2,41;-21,74;58;ONLINE;1490;SPEC;
4612;SM;SC;3,52;-23,19;33;1:2;1:4;1:16;2,23;-20,65;54;ONLINE;1490;SPEC;
4291;SM;SC;3,85;-17,78;24;1:2;1:4;1:8;2,27;-17,03;48;ONLINE;1490;SPEC;
4670;SM;SC;3,92;-23,77;29;1:2;1:4;1:16;2,48;-22;48;ONLINE;1490;SPEC;
6620;SM;SC;3,69;-19,79;32;1:2;1:4;1:8;2,28;-18,41;50;ONLINE;1490;SPEC;
6130;SM;SC;3,55;-21,13;31;1:2;1:4;1:16;2,25;-21,13;49;ONLINE;1490;SPEC;
6205;SM;SC;3,76;-21,94;31;1:2;1:4;1:8;2,24;-20,65;44;ONLINE;1490;SPEC;
3262;SM;SC;3,82;-24,09;41;1:2;1:4;1:8;2,15;-23,56;25;ONLINE;1490;UNSPEC;
2588;SM;SC;3,88;-20,37;39;1:2;1:4;1:8;2,28;-21,94;43;ONLINE;1490;SPEC;
4346;SM;SC;3,87;-23,1;48;1:2;1:4;1:8;1,94;-20,17;51;ONLINE;1490;SPEC;
4157;SM;SC;3,85;-22,79;32;1:2;1:4;1:8;2,3;-22,52;60;ONLINE;1490;SPEC;
3638;SM;SC;3,73;-25,09;42;1:2;1:4;1:8;2,65;-23,98;46;ONLINE;1490;UNSPEC;
6502;SM;SC;3,86;-20,33;29;1:2;1:4;1:8;2,34;-21,74;58;ONLINE;1490;SPEC;
2252;SM;SC;3,64;-21,14;33;1:2;1:4;1:8;2,21;-19,43;49;ONLINE;1490;SPEC;
2346;SM;SC;3,74;-21,43;33;1:2;1:4;1:8;1,91;-19,7;55;ONLINE;1490;SPEC;
2354;SM;SC;3,76;-23,88;33;1:2;1:4;1:8;2,12;-23,18;47;ONLINE;1490;SPEC;
3140;SM;SC;3,71;-18,22;33;1:2;1:4;1:8;2,3;-16,94;53;ONLINE;1490;SPEC;
4707;SM;SC;3,39;-18,05;39;1:2;1:4;1:8;2,26;-15,93;51;ONLINE;1490;SPEC;
4931;SM;SC;3,54;-21,37;28;1:2;1:4;1:8;2,36;-18,86;55;ONLINE;1490;SPEC;
4711;SM;SC;3,51;-18,61;31;1:2;1:4;1:8;2,34;-16,75;56;ONLINE;1490;SPEC;
5049;SM;SC;3,65;-21,03;39;1:2;1:4;1:8;2,43;-19,87;43;ONLINE;1490;SPEC;
5222;SM;SC;3,65;-17,57;35;1:2;1:4;1:8;2,43;-20,75;42;ONLINE;1490;SPEC;
4858;SM;SC;3,69;-19,36;25;1:2;1:4;1:8;2,46;-17,59;45;ONLINE;1490;SPEC;
4876;SM;SC;4,01;-18,02;35;1:2;1:4;1:8;2,67;-16,95;58;ONLINE;1490;SPEC;
4877;SM;SC;3,66;-17,7;26;1:2;1:4;1:8;2,44;-17,24;51;ONLINE;1490;SPEC;
4875;SM;SC;3,81;-17,68;32;1:2;1:4;1:8;2,54;-16,42;44;ONLINE;1490;SPEC;
2543;SM;SC;3,48;-19,24;35;1:2;1:4;1:8;2,32;-18,15;40;ONLINE;1490;SPEC;
3585;SM;SC;3,48;-20,41;38;1:2;1:2;1:16;2,32;-19,17;44;ONLINE;1490;SPEC;
3536;SM;SC;3,32;-20,92;32;1:2;1:2;1:16;2,21;-19,35;44;ONLINE;1490;SPEC;
3405;SM;SC;3,57;-24,56;25;1:2;1:2;1:16;2,38;-22,52;44;ONLINE;1490;UNSPEC;
3524;SM;SC;3,47;-22,22;27;1:2;1:2;1:16;2,31;-20,26;44;ONLINE;1490;SPEC;
3514;SM;SC;3,26;-21,14;31;1:2;1:2;1:16;2,17;-19,91;43;ONLINE;1490;SPEC;
3590;SM;SC;3,35;-20,76;37;1:2;1:2;1:16;2,23;-19,2;45;ONLINE;1490;SPEC;
3429;SM;SC;3,33;-21,62;33;1:2;1:2;1:16;2,22;-19,58;49;ONLINE;1490;SPEC;
3422;SM;SC;3,33;-24,69;40;1:2;1:2;1:16;2,22;-21,27;44;ONLINE;1490;UNSPEC;
2589;SM;SC;3,18;-30,96;27;1:2;1:4;1:8;2,12;-29,21;52;ONLINE;1490;UNSPEC;
2589;SM;SC;3,53;-30,59;30;1:2;1:4;1:8;2,35;-28,86;43;ONLINE;1490;UNSPEC;
2154;SM;SC;3,48;-22,97;25;1:2;1:4;1:8;2,32;-21,67;40;ONLINE;1490;SPEC;
2739;SM;SC;3,63;-31,35;40;1:2;1:4;1:8;2,42;-29,58;39;ONLINE;1490;UNSPEC;
2739;SM;SC;3,66;-31,35;29;1:2;1:4;1:8;2,44;-29,58;51;ONLINE;1490;UNSPEC;
2293;SM;SC;3,17;-19,58;33;1:2;1:4;1:8;2,11;-18,47;43;ONLINE;1490;SPEC;
2471;SM;SC;3,5;-18,07;40;1:2;1:4;1:8;2,33;-17,05;40;ONLINE;1490;SPEC;
2327;SM;SC;3,29;-18,75;35;1:2;1:4;1:8;2,19;-17,69;42;ONLINE;1490;SPEC;
2071;SM;SC;3,11;-20,17;25;1:2;1:4;1:8;2,07;-19,03;38;ONLINE;1490;SPEC;
2070;SM;SC;3,08;-20,13;26;1:2;1:4;1:8;2,05;-18,99;54;ONLINE;1490;SPEC;
2071;SM;SC;3,17;-20,92;25;1:2;1:4;1:8;2,11;-19,74;35;ONLINE;1490;SPEC;
2312;SM;SC;3,29;-17,48;39;1:2;1:4;1:8;2,19;-16,49;49;ONLINE;1490;SPEC;
2588;SM;SC;3,39;-28,84;39;1:2;1:4;1:8;2,26;-27,21;47;ONLINE;1490;UNSPEC;
2640;SM;SC;3,17;-24,3;34;1:2;1:4;1:8;2,11;-22,92;41;ONLINE;1490;UNSPEC;
2588;SM;SC;3,17;-27,76;36;1:2;1:4;1:8;2,11;-26,19;55;ONLINE;1490;UNSPEC;
2574;SM;SC;3,17;-26,74;32;1:2;1:4;1:8;2,11;-25,23;43;ONLINE;1490;UNSPEC;
2163;SM;SC;3,06;-19,58;40;1:2;1:4;1:8;2,04;-18,47;43;ONLINE;1490;SPEC;
2119;SM;SC;3,59;-19,78;40;1:2;1:4;1:8;2,39;-18,66;44;ONLINE;1490;SPEC;
2208;SM;SC;3,29;-21,43;35;1:2;1:4;1:8;2,19;-20,22;46;ONLINE;1490;SPEC;
2535;SM;SC;3,29;-18,44;32;1:2;1:4;1:8;2,19;-17,4;46;ONLINE;1490;SPEC;
2664;SM;SC;3,26;-23,11;37;1:2;1:4;1:8;2,17;-21,8;49;ONLINE;1490;SPEC;
2293;SM;SC;3,09;-17,28;26;1:2;1:4;1:8;2,06;-16,3;47;ONLINE;1490;SPEC;
6606;SM;SC;3,57;-17,25;34;1:2;1:4;1:8;2,38;-16,27;37;ONLINE;1490;SPEC;
6423;SM;SC;3,45;-17,47;28;1:2;1:4;1:8;2,3;-16,48;40;ONLINE;1490;SPEC;
6550;SM;SC;3,59;-17,3;38;1:2;1:4;1:8;2,39;-16,32;43;ONLINE;1490;SPEC;
6582;SM;SC;3,66;-18,5;37;1:2;1:4;1:8;2,44;-17,45;35;ONLINE;1490;SPEC;
6570;SM;SC;3,08;-18,82;40;1:2;1:4;1:8;2,05;-17,75;51;ONLINE;1490;SPEC;
6622;SM;SC;3,32;-17,64;28;1:2;1:4;1:8;2,21;-16,64;44;ONLINE;1490;SPEC;
6411;SM;SC;3,24;-17,61;39;1:2;1:4;1:8;2,16;-16,61;55;ONLINE;1490;SPEC;
4117;SM;SC;3,39;-22,11;39;1:2;1:4;1:8;2,26;-20,86;36;ONLINE;1490;SPEC;
4122;SM;SC;2,87;-21,34;34;1:2;1:4;1:8;1,91;-20,13;36;ONLINE;1490;SPEC;
4283;SM;SC;3,41;-22,71;28;1:2;1:4;1:8;2,27;-21,42;41;ONLINE;1490;SPEC;
2422;SM;SC;3,48;-20,44;31;1:2;1:4;1:8;2,32;-19,28;45;ONLINE;1490;SPEC;
2338;SM;SC;3,2;-26,16;29;1:2;1:4;1:8;2,13;-24,68;51;ONLINE;1490;UNSPEC;
2317;SM;SC;3,62;-23,55;36;1:2;1:4;1:8;2,41;-22,22;40;ONLINE;1490;SPEC;
2338;SM;SC;3,08;-22,28;33;1:2;1:4;1:8;2,05;-21,02;49;ONLINE;1490;SPEC;
2167;SM;SC;3,53;-30,59;36;1:2;1:4;1:8;2,35;-28,86;43;ONLINE;1490;UNSPEC;
2399;SM;SC;3,83;-22,84;33;1:2;1:4;1:8;2,55;-21,55;37;ONLINE;1490;SPEC;
2195;SM;SC;3,15;-23,95;31;1:2;1:4;1:8;2,1;-22,59;44;ONLINE;1490;SPEC;
2246;SM;SC;2,97;-27,22;33;1:2;1:4;1:8;1,98;-25,68;54;ONLINE;1490;UNSPEC;
2210;SM;SC;3,53;-20,51;36;1:2;1:4;1:8;2,35;-19,35;55;ONLINE;1490;SPEC;
2112;SM;SC;3,36;-24,87;33;1:2;1:4;1:8;2,24;-23,46;40;ONLINE;1490;UNSPEC;
2247;SM;SC;2,87;-32,84;36;1:2;1:4;1:8;1,91;-30,98;42;ONLINE;1490;UNSPEC;
2244;SM;SC;3,27;-21,49;35;1:2;1:4;1:8;2,18;-20,27;35;ONLINE;1490;SPEC;
7974;SM;SC;3,06;-21,53;33;1:2;1:4;1:8;2,04;-20,31;55;ONLINE;1490;SPEC;
7849;SM;SC;3,6;-19,33;34;1:2;1:4;1:8;2,4;-18,24;44;ONLINE;1490;SPEC;
7844;SM;SC;2,99;-21,53;28;1:2;1:4;1:8;1,99;-20,31;38;ONLINE;1490;SPEC;
7845;SM;SC;3,3;-26,58;32;1:2;1:4;1:8;2,2;-25,08;49;ONLINE;1490;UNSPEC;
7665;SM;SC;3,33;-26,74;26;1:2;1:4;1:8;2,22;-25,23;37;ONLINE;1490;UNSPEC;
7857;SM;SC;3,03;-23,55;27;1:2;1:4;1:8;2,02;-22,22;50;ONLINE;1490;SPEC;
7738;SM;SC;2,94;-29,35;28;1:2;1:4;1:8;1,96;-27,69;48;ONLINE;1490;UNSPEC;
7870;SM;SC;3,06;-22,92;38;1:2;1:4;1:8;2,04;-21,62;43;ONLINE;1490;SPEC;
8118;SM;SC;3,68;-21,28;30;1:2;1:4;1:8;2,45;-20,08;35;ONLINE;1490;SPEC;
7730;SM;SC;2,82;-20,44;34;1:2;1:4;1:8;1,88;-19,28;37;ONLINE;1490;SPEC;
7725;SM;SC;3,45;-20,13;28;1:2;1:4;1:8;2,3;-18,99;36;ONLINE;1490;SPEC;
7583;SM;SC;3;-20,1;28;1:2;1:4;1:8;2;-18,96;45;ONLINE;1490;SPEC;
7960;SM;SC;3,08;-25,77;38;1:2;1:4;1:8;2,05;-24,31;45;ONLINE;1490;UNSPEC;
7850;SM;SC;2,93;-19,12;31;1:2;1:4;1:8;1,95;-18,04;46;ONLINE;1490;SPEC;
7744;SM;SC;3,66;-20,44;28;1:2;1:4;1:8;2,44;-19,28;54;ONLINE;1490;SPEC;
4795;SM;SC;3,23;-19,61;28;1:2;1:4;1:8;2,15;-18,5;48;ONLINE;1490;SPEC;
4889;SM;SC;3,65;-19,81;39;1:2;1:4;1:8;2,43;-18,69;55;ONLINE;1490;SPEC;
4798;SM;SC;3,27;-23,95;35;1:2;1:4;1:8;2,18;-22,59;55;ONLINE;1490;SPEC;
4848;SM;SC;3,59;-25,77;29;1:2;1:4;1:8;2,39;-24,31;55;ONLINE;1490;UNSPEC;
4825;SM;SC;3,24;-19,37;25;1:2;1:4;1:8;2,16;-18,27;47;ONLINE;1490;SPEC;
